op_side,op_type,op_name,full_op_name,op_occurrences,op_total_time(ms),op_avg_time(ms),total_proportion,subgraph,pid
Host,ApplyMomentum,ApplyMomentum-op128,Default/optimizer-Momentum/ApplyMomentum-op128,1875,8.70115,0.00464061,0.000188322,Default,1730
Host,Conv2DBackpropFilter,Conv2DBackpropFilter-op126,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv1-Conv2d/gradConv2D/Conv2DBackpropFilter-op126,1875,4373.89,2.33274,0.0946655,Default,1730
Host,ApplyMomentum,ApplyMomentum-op127,Default/optimizer-Momentum/ApplyMomentum-op127,1875,18.8166,0.0100355,0.000407255,Default,1730
Host,ReluGrad,ReluGrad-op119,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op119,1875,116.782,0.0622837,0.00252755,Default,1730
Host,Conv2DBackpropFilter,Conv2DBackpropFilter-op120,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/gradConv2D/Conv2DBackpropFilter-op120,1875,3603.53,1.92188,0.0779925,Default,1730
Host,ApplyMomentum,ApplyMomentum-op125,Default/optimizer-Momentum/ApplyMomentum-op125,1875,221.572,0.118172,0.00479556,Default,1730
Host,MatMul,MatMul-op97,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op97,1875,43.1631,0.0230203,0.000934194,Default,1730
Host,ReluGrad,ReluGrad-op124,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op124,1875,388.351,0.20712,0.00840521,Default,1730
Host,BiasAdd,BiasAdd-op95,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op95,1875,9.94421,0.00530358,0.000215226,Default,1730
Host,ReluGrad,ReluGrad-op106,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op106,1875,15.9339,0.00849806,0.000344862,Default,1730
Host,BiasAdd,BiasAdd-op92,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op92,1875,27.2384,0.0145272,0.000589531,Default,1730
